ESTACIÓN,CÓDIGO,X=N,Y=E,MUNICIPIO,CUENCA,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
Zipaquirá,2120074,1047850,1007620,Zipaquirá,R. Negro,2019,27.6,35.6,74.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,1998,0.0,0.0,0.0,0.0,0.0,0.0,98.9,52.9,67.0,158.5,119.6,92.6
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,1999,78.9,82.2,31.3,94.7,83.9,112.6,46.0,98.4,115.0,179.4,118.5,41.8
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,2000,79.9,117.7,127.6,54.6,115.7,61.4,48.6,52.4,75.7,58.2,106.4,60.9
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,2001,17.3,100.4,73.2,23.0,75.2,63.7,29.5,21.0,48.4,101.8,73.3,93.5
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,2002,16.9,44.2,76.5,199.7,112.4,107.3,50.7,36.0,72.9,94.8,41.5,42.5
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,2003,5.6,54.5,98.2,175.4,27.9,0.0,130.7,35.6,49.8,205.3,160.1,49.4
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,2004,61.5,35.6,37.8,145.3,121.4,67.4,83.3,37.8,61.5,176.8,126.7,22.9
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,2005,56.9,54.0,56.9,73.5,175.9,55.2,2.5,30.2,55.1,123.7,86.8,70.6
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,2006,82.0,33.1,149.3,131.1,144.2,94.0,42.6,30.3,45.6,171.9,143.4,37.6
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,2007,18.2,16.3,60.3,109.5,93.0,99.3,56.6,99.8,35.5,148.3,62.7,99.2
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,2008,62.4,44.0,122.7,106.6,184.8,77.7,91.7,108.4,52.8,100.4,158.8,107.5
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,2009,38.0,80.8,98.2,78.3,52.4,95.2,55.2,69.9,22.3,97.4,93.9,31.4
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,2010,20.0,10.4,15.8,184.9,126.0,95.8,158.2,66.2,126.0,130.0,177.3,138.1
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,2011,28.7,175.9,201.5,250.3,147.3,34.5,45.4,65.9,58.2,194.8,157.6,70.1
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,2012,42.7,29.0,90.4,187.9,67.6,56.6,62.6,81.7,32.7,164.9,143.7,88.7
Hda La Mesa,2119047,973470,962820,Pasca,R. Cuja,2013,38.8,98.5,29.2,90.9,119.0,36.7,52.2,33.9,40.3,48.2,154.2,92.5
Novilleros,2401519,1080650,1032380,Ubaté,R. Ubaté,2006,55.9,36.5,99.3,214.6,92.6,67.9,0.0,13.4,25.3,117.1,108.5,56.1
San José,2120080,1026900,1020940,Guasca,Emb. Tominé,1999,52.2,66.1,93.1,118.3,79.3,77.3,57.8,65.7,131.4,174.6,82.9,42.7
El Triangulo,2401039,1078310,1051230,Lenguazaque,R. Lenguazaque,2015,17.8,44.3,78.0,31.9,37.0,97.3,65.7,112.4,31.0,23.8,70.6,5.1
Represa del Neusa,2120541,1060090,1011400,Cogua,Emb. Neusa,1967,19.4,27.5,49.0,100.1,105.0,112.5,52.2,67.1,48.9,54.9,117.3,52.8
Ventalarga,2120026,1053180,1002950,Zipaquirá,R. Frío,1964,23.0,42.5,50.5,79.0,130.0,161.0,118.5,39.0,58.0,89.0,89.0,81.5
La Unión,2120055,1030640,980540,Subachoque,R. Subachoque,1977,26.5,30.0,100.5,88.0,73.0,110.0,77.0,140.5,82.0,188.5,88.0,55.0
Sutamarchán,2401029,1113200,1050440,Sutamarchán,R. Sutamarchán,1961,34.5,10.0,105.2,101.5,7.5,16.2,2.5,0.0,26.5,123.0,262.6,10.0
Negrete,2306308,991879,1055051,Pacho,Rionegro,2013,91.4,232.5,191.3,178.1,199.5,25.7,18.1,87.3,75.2,162.8,253.7,230.5
El Placer,2123502,1007762,928174,Puli,R. Magddalena,2002,10.2,45.1,108.3,189.5,19.8,62.1,39.8,10.1,71.5,136.4,92.7,78.2
El Pedregal,2401049,1070160,1022050,Sutatausa,R. Suta,2016,7.6,9.5,118.3,116.8,43.4,17.1,9.1,27.4,60.9,8.9,69.0,35.7
Los Pinos,2312019,1070730,1005190,Tausa,R. Negro,2015,1.2,49.1,182.3,69.7,28.4,23.0,5.2,4.4,1.5,35.0,88.0,2.0
Zipaquirá,2120074,1047850,1007620,Zipaquirá,R. Negro,1939,21.1,30.4,80.1,64.2,0.0,4.9,34.2,22.6,26.6,161.1,58.1,35.0
El Hato No. 5,2401056,1068490,1013862,Carmen de Carupa,R. El Hato,1975,26.0,107.0,312.0,304.0,171.0,302.0,260.0,235.0,178.0,309.0,215.0,295.0
Sta Rosa,3502019,960000,987700,Santafe de Bogotá,R. Blanco,1961,32.7,38.5,110.0,202.5,156.0,292.0,291.0,459.5,395.5,252.0,357.0,125.5
El Bosque,2120085,986200,995560,Santafe de Bogotá,R. Tunjuelo,1967,54.0,25.5,128.0,156.1,207.1,314.5,217.5,240.1,109.1,77.5,280.2,51.1
Alto Saboya,2401520,1123700,1029290,Saboyá,R. Suárez,1988,24.8,74.5,11.5,188.8,121.0,164.3,85.7,105.8,191.3,125.1,208.5,126.5
San Miguel de Sema,2401531,1102290,1040620,San Miguel de Sema,Lag. Fúquene,2006,137.0,60.0,273.0,260.0,204.0,84.0,19.0,15.0,41.0,281.0,215.0,177.0
La Lumbre,2120525,1003730,987701,Santafe de Bogotá,R. Tunjuelo,1979,3.0,7.0,49.5,89.0,61.5,57.5,27.5,53.0,53.0,47.5,122.5,180.0
La Virginia,2120046,1037985,1001130,Tabio,R. Frío,1958,34.2,19.6,53.8,72.8,86.3,66.2,24.6,51.1,18.1,118.8,218.5,47.0
Guanquica No. 1,2120033,1065130,1015270,Tausa,Emb. Neusa,1969,2.2,8.0,3.4,44.7,76.2,40.3,36.2,35.9,36.5,94.4,98.6,37.9
Tocancipá,2120104,1040820,1017940,Tocancipá,R. Bogotá,1986,23.0,101.0,131.5,4.5,110.5,136.0,25.5,33.5,132.5,227.5,125.0,1.5
La Unión,2120055,1030640,980540,Subachoque,R. Subachoque,1974,79.0,66.5,186.5,105.5,65.5,57.5,47.5,61.5,148.5,131.0,134.0,29.5
El Muña,2120561,993600,981280,Sibaté,Emb. Muña,1978,0.5,12.5,55.7,76.0,98.9,46.5,19.8,20.2,17.8,36.0,31.3,36.2
Los Arrayanes,2401031,1109880,1040300,Tinjacá,R. Suárez,1978,0.0,59.0,194.0,179.0,106.0,39.5,13.0,69.1,71.0,158.5,93.0,201.0
